Time (s),Target BPM
0.00,140.7
1.00,141.1
2.00,142.7
3.00,145.1
4.00,145.7
5.00,145.7
6.00,146.3
7.00,140.7
8.00,145.8
9.00,145.1
10.00,145.3
11.00,144.2
12.00,143.5
13.00,146.0
14.00,149.5
15.00,148.9
16.00,148.3
17.00,145.1
18.00,140.8
19.00,137.7
20.00,135.1
21.00,133.9
22.00,133.4
23.00,134.3
24.00,137.1
25.00,141.2
26.00,144.2
27.00,146.4
28.00,144.1
29.00,141.1
30.00,138.6
31.00,139.8
32.00,145.3
33.00,144.2
34.00,142.3
35.00,140.5
36.00,134.2
37.00,131.0
38.00,130.1
39.00,127.4
40.00,127.0
41.00,127.8
42.00,133.4
43.00,140.2
44.00,147.3
45.00,150.8
46.00,149.4
47.00,151.2
48.00,150.1
49.00,152.2
50.00,152.6
51.00,154.2
52.00,155.3
53.00,156.3
54.00,159.4
55.00,160.1
56.00,162.6
57.00,164.9
58.00,166.7
59.00,168.5
60.00,169.9
61.00,170.5
62.00,170.2
63.00,166.2
64.00,164.7
65.00,161.8
66.00,162.2
67.00,165.4
68.00,163.0
69.00,162.7
70.00,158.4
71.00,156.4
72.00,156.2
73.00,155.5
74.00,160.0
75.00,162.7
76.00,163.4
77.00,166.2
78.00,165.1
79.00,166.6
80.00,168.1
81.00,167.5
82.00,170.8
83.00,169.8
84.00,172.1
85.00,172.9
86.00,171.9
87.00,172.4
88.00,172.7
89.00,176.2
90.00,173.8
91.00,171.3
92.00,169.9
93.00,166.5
94.00,165.2
95.00,161.6
96.00,156.8
97.00,155.5
98.00,156.3
99.00,157.0
100.00,161.3
101.00,162.3
102.00,164.4
103.00,167.7
104.00,169.7
105.00,170.2
106.00,170.3
107.00,167.9
108.00,165.3
109.00,163.5
110.00,158.5
111.00,158.2
112.00,156.5
113.00,152.9
114.00,155.2
115.00,155.7
116.00,155.2
117.00,158.3
118.00,159.4
119.00,159.2
120.00,162.6
121.00,161.7
122.00,162.1
123.00,164.4
124.00,166.1
125.00,167.5
126.00,167.3
127.00,168.4
128.00,168.9
129.00,168.2
130.00,168.9
131.00,170.0
132.00,168.8
133.00,176.3
134.00,173.2
135.00,176.4
136.00,179.1
137.00,177.2
138.00,176.6
139.00,177.8
140.00,175.6
141.00,175.2
142.00,172.8
143.00,169.9
144.00,171.1
145.00,170.0
146.00,172.5
147.00,174.3
148.00,172.4
149.00,174.2
150.00,171.7
151.00,172.3
152.00,171.4
153.00,170.9
154.00,171.1
155.00,170.5
156.00,173.1
157.00,173.1
158.00,172.9
159.00,175.9
160.00,174.2
161.00,175.8
162.00,178.2
163.00,176.8
164.00,178.3
165.00,181.0
166.00,179.1
167.00,181.3
168.00,180.8
169.00,182.0
170.00,181.9
171.00,183.0
172.00,181.7
173.00,183.3
174.00,183.1
175.00,183.8
176.00,185.0
177.00,183.5
178.00,185.7
179.00,186.6
180.00,187.1
181.00,188.1
182.00,187.9
183.00,188.8
184.00,187.8
185.00,189.7
186.00,189.0
187.00,191.2
188.00,191.0
189.00,190.4
190.00,189.3
191.00,187.4
192.00,186.5
193.00,186.7
194.00,187.7
195.00,185.9
196.00,184.3
197.00,183.4
198.00,183.5
199.00,181.6
200.00,181.8
201.00,180.9
202.00,180.0
203.00,180.0
204.00,178.1
205.00,178.4
206.00,174.6
207.00,172.8
208.00,172.9
209.00,171.1
210.00,171.3
211.00,170.9
212.00,171.7
213.00,171.1
214.00,168.5
215.00,170.3
216.00,168.0
217.00,168.1
218.00,166.8
219.00,166.3
220.00,167.0
221.00,163.6
222.00,165.8
223.00,163.4
224.00,164.4
225.00,164.4
226.00,164.9
227.00,164.0
228.00,163.8
229.00,162.1
230.00,161.3
231.00,161.8
232.00,159.0
233.00,160.6
234.00,161.1
235.00,160.4
236.00,163.9
237.00,162.2
238.00,162.2
239.00,161.0
240.00,161.0
241.00,161.2
242.00,157.4
243.00,156.7
244.00,155.2
245.00,153.4
246.00,155.3
247.00,157.5
248.00,154.8
249.00,157.1
250.00,157.7
251.00,157.5
252.00,160.9
253.00,161.8
254.00,158.1
255.00,157.4
256.00,155.4
257.00,151.8
258.00,152.8
259.00,153.6
260.00,154.8
261.00,158.6
262.00,160.5
263.00,158.3
264.00,160.4
265.00,160.9
266.00,157.2
267.00,157.2
268.00,152.9
269.00,147.5
270.00,147.4
271.00,145.5
272.00,148.9
273.00,150.9
274.00,152.0
275.00,155.5
276.00,156.8
277.00,156.7
278.00,155.8
279.00,154.7
280.00,150.7
281.00,149.4
282.00,147.9
283.00,144.1
284.00,143.4
285.00,144.9
286.00,145.9
287.00,152.0
288.00,151.9
289.00,152.9
290.00,153.8
291.00,152.4
292.00,154.2
293.00,153.1
294.00,149.0
295.00,145.0
296.00,137.9
297.00,135.8
298.00,135.5
299.00,140.1
300.00,143.2
301.00,146.5
302.00,149.1
303.00,150.8
304.00,151.4
305.00,152.1
306.00,146.4
307.00,143.5
308.00,140.9
309.00,139.6
310.00,143.4
311.00,145.9
312.00,148.3
313.00,149.1
